Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,-2.827828101,-3.203291503,6.552646732,6.943995465,-8.964873967,-1.137521028,4.94840668,1.460792303,1.41369952,0.110931541,1.231914727,2.739265267,-0.972853332,-4.32313739,-2.448498802,5.220096655,7.848310225,3.665782897,7.820995082,8.434111052,3.271733551,9.507871168,27.7784483,0.050245558,5.524287264,7.585240718,10.18289048,6.616157752,7.656373561,9.58859806,11.13241031,7.690648006,-4.444645335,6.736530036,-38.6122107,-14.7582625,4.991841106,7.136495051,-3.331098805,-3.1353814,4.879076834,3.35310791,-2.535115109,-11.68660723,9.412239652,10.13149664,2.124647525,
Afghanistan,AFG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.243329331,18.61251624,-9.027677545,
Africa Western and Central,AFW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,13.09000001,22.92999998,14.29,16.56,10.62,-2.650518889,-2.378932172,-5.124101337,5.199864504,-1.173900758,0.704632329,-14.68932273,-18.39552462,24.54367675,-7.613972165,-17.41517164,-7.341592036,-8.558465214,3.270583542,-6.184776273,
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.27443811,33.83347852,73.09678688,38.88130026,15.45616887,3.552368796,11.77325118,18.4838616,24.26685666,16.927428,19.11220093,-4.625567002,4.711535921,19.19357968,6.674095139,0.293590353,1.588995503,1.152801296,0.969353009,11.34059714,13.24345745,4.025758031,2.480075293,-27.72554301,52.09736917,17.04248798,9.453514103,
Andorra,AND,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238488818,14.98303108,11.36613808,8.478922556,6.717449682,5.605200838,7.208493415,-6.309932323,9.512703976,-11.19155733,8.605643341,1.620664376,-0.268002516,1.923858471,2.925989787,4.484016416,6.054978422,-1.031660468,-8.454561578,4.648387954,13.88554001,4.707136572,
United Arab Emirates,ARE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.150408737,22.91019613,24.54438458,11.48225537,11.53124467,8.8320654,12.43522458,-4.29925556,6.259810321,16.06622423,15.66517076,7.060989953,4.126976527,2.725467322,5.213965669,-0.319116777,1.681711608,0.751709035,3.84884085,4.081412958,8.459572956,6.879757555,
Argentina,ARG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-10.63859174,45.23846323,0,-8.196661334,8.928500262,16.39343134,0,-7.042155989,21.21207237,1.200104119,-9.930944204,2.029586084,13.97858999,0.235738442,-9.294158526,31.51765655,27.31777194,8.907269916,-3.200500135,-5.142862405,5.203906511,3.946552406,2.582605848,-2.591497771,15.55402385,-10.27034119,-3.48199917,18.71956561,7.430323722,18.01160325,-3.62414436,-1.029694439,3.983198679,15.29556898,22.52814469,7.646794889,12.17744082,10.62339306,-1.260277939,2.702391309,2.74099076,3.092955186,5.995368202,8.11415799,12.88683042,5.561203235,8.164451917,0.739874469,-9.347106431,13.89691362,4.148814784,-4.108311326,-3.520240343,-6.979167434,-2.77737294,5.317354108,2.615390952,0.645996251,9.751025404,-17.43771088,8.453044795,4.606214797,-7.512632242,
Armenia,ARM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.17575723,7.858054186,-6.880117022,-0.070105162,13.34303891,18.75948212,27.26303745,34.41957136,30.55543466,-2.504526895,16.28765383,-7.339083225,-3.508229849,-13.07998546,-10.43565536,26.49996998,14.89827663,9.135577359,8.6,6.400000004,4.899999994,21.3,19.3,5.000000001,16,-33.5,18.6,59.9,30.7,
